Virginia,35 - 3,1,
Gonzaga,33 - 4,2,
Duke,32 - 6,3,
Houston,33 - 4,4,
Tennessee,30 - 6,5,
Kentucky,30 - 7,6,
North Carolina,29 - 7,7,
Michigan State,32 - 7,8,
Michigan,30 - 7,9,
Texas Tech,31 - 7,10,
Virginia Tech,26 - 9,11,
Purdue,26 - 10,12,
Wofford,27 - 5,13,
LSU,28 - 7,14,
Buffalo,31 - 4,15,
Florida State,29 - 8,16,
Wisconsin,23 - 11,17,
Auburn,29 - 10,18,
Mississippi State,23 - 11,19,
Kansas,26 - 10,20,
Iowa State,23 - 12,21,
Louisville,20 - 14,22,
Nevada,29 - 5,23,
Kansas State,25 - 9,24,
Cincinnati,28 - 7,25,
Villanova,26 - 10,26,
Maryland,23 - 11,27,
Marquette,24 - 10,28,
Utah State,27 - 7,29,
UCF,24 - 9,30,
Florida,20 - 16,31,
Saint Mary's College,22 - 12,32,
North Carolina State,24 - 12,33,
VCU,25 - 8,34,
Clemson,20 - 14,35,
Ole Miss,20 - 13,36,
Oklahoma,20 - 14,37,
Texas,21 - 16,38,
Baylor,20 - 14,39,
New Mexico State,28 - 5,40,
Furman,22 - 8,41,
Syracuse,20 - 14,42,
Iowa,23 - 12,43,
Murray State,26 - 5,44,
Washington,27 - 9,45,
Memphis,22 - 14,46,
Belmont,26 - 6,47,
Nebraska,18 - 17,48,
Lipscomb,27 - 8,49,
Penn State,14 - 18,50,
Oregon,25 - 13,51,
TCU,23 - 14,52,
Creighton,19 - 15,53,
Indiana,19 - 16,54,
Ohio State,20 - 15,55,
Temple,23 - 10,56,
Seton Hall,20 - 14,57,
Liberty,26 - 7,58,
Alabama,18 - 16,59,
UNCG,27 - 7,60,
Minnesota,22 - 14,61,
Toledo,24 - 8,62,
Arizona State,23 - 11,63,
Butler,16 - 17,64,
Arkansas,18 - 16,65,
Colorado,23 - 13,66,
Xavier,19 - 16,67,
UC Irvine,30 - 6,68,
Dayton,21 - 12,69,
Providence,18 - 16,70,
Vermont,26 - 7,71,
East Tennessee State,22 - 10,72,
Saint John's,21 - 13,73,
San Francisco,20 - 10,74,
Davidson,23 - 10,75,
Hofstra,26 - 8,76,
Missouri,15 - 17,77,
Northeastern,23 - 11,78,
Oklahoma State,12 - 20,79,
Fresno State,22 - 9,80,
South Carolina,15 - 16,81,
Georgetown,19 - 14,82,
Wichita State,22 - 15,83,
Texas A&M,14 - 18,84,
BYU,19 - 13,85,
Yale,21 - 8,86,
Oregon State,18 - 13,87,
USC,16 - 17,88,
Northwestern,13 - 19,89,
Utah Valley,23 - 10,90,
Southern Miss,17 - 12,91,
Miami (FL),14 - 18,92,
Arizona,17 - 15,93,
Tulsa,18 - 14,94,
Connecticut,16 - 17,95,
Grand Canyon,19 - 14,96,
San Diego,20 - 15,97,
SMU,15 - 17,98,
South Florida,23 - 14,99,
Old Dominion,26 - 9,100,
Rutgers,14 - 17,101,
DePaul,19 - 17,102,
Saint Louis,23 - 13,103,
South Dakota State,23 - 9,104,
Utah,17 - 14,105,
West Virginia,15 - 21,106,
Charleston,23 - 9,107,
Stanford,15 - 16,108,
Illinois,12 - 21,109,
Penn,18 - 12,110,
Western Kentucky,20 - 14,111,
Notre Dame,14 - 19,112,
Central Michigan,20 - 12,113,
Akron,15 - 16,114,
Northern Kentucky,24 - 9,115,
San Diego State,20 - 13,116,
Bowling Green,20 - 12,117,
Saint Bonaventure,18 - 16,118,
Louisiana Tech,18 - 13,119,
UCLA,17 - 16,120,
Georgia State,23 - 10,121,
Georgia,11 - 21,122,
Pittsburgh,14 - 19,123,
Montana,24 - 9,124,
Georgia Southern,19 - 12,125,
Georgia Tech,14 - 18,126,
Drake,22 - 10,127,
Loyola-Chicago,19 - 14,128,
Harvard,18 - 12,129,
Jacksonville State,22 - 9,130,
Ball State,15 - 17,131,
Colgate,23 - 11,132,
UAB,18 - 15,133,
Texas State,22 - 10,134,
Austin Peay,20 - 11,135,
Boston College,14 - 17,136,
Rhode Island,18 - 15,137,
Kent State,20 - 11,138,
Northern Illinois,15 - 17,139,
